BorrowerOccupation,BorrowerGender,NetMonthlySalary,BorrowerPostalCode,BorrowerDistrict,BorrowerPlanningArea,BorrowerID
CLEANER,F,1128,448908.0,15.0,BEDOK,7032
SERVICE,M,1281,269455.0,10.0,BUKIT TIMAH,7277
CLERICAL,M,1853,248478.0,10.0,TANGLIN,4081
TECHNICIAN,M,1522,470769.0,16.0,BEDOK,7598
CLEANER,F,1017,381121.0,14.0,GEYLANG,6833
CLEANER,F,1425,653291.0,23.0,BUKIT BATOK,5513
CLERICAL,F,2038,238145.0,9.0,RIVER VALLEY,6607
SERVICE,M,1239,573975.0,20.0,BISHAN,6374
SERVICE,F,1248,479254.0,16.0,BEDOK,2659
SERVICE,F,1004,249566.0,10.0,TANGLIN,5711
CLEANER,F,1247,596230.0,21.0,BUKIT BATOK,6345
SERVICE,M,1220,278830.0,10.0,BUKIT TIMAH,7638
SERVICE,M,1375,286773.0,11.0,BUKIT TIMAH,6951
SERVICE,M,1267,286753.0,11.0,BUKIT TIMAH,6103
SERVICE,F,1346,286698.0,11.0,BUKIT TIMAH,6230
TECHNICIAN,M,1257,259362.0,10.0,TANGLIN,5308
SERVICE,M,1180,249996.0,10.0,TANGLIN,6801
SECURITY,F,2360,543185.0,19.0,SENGKANG,7925
CLEANER,M,996,249034.0,10.0,TANGLIN,6627
PLANT AND MACHINE,M,1460,529875.0,18.0,TAMPINES,7639
SERVICE,M,1440,387882.0,14.0,GEYLANG,4134
SERVICE,F,932,654443.0,23.0,BUKIT BATOK,4847
OTHER,M,1549,307943.0,11.0,NOVENA,7968
SERVICE,F,771,298918.0,11.0,NOVENA,5685
SERVICE,F,1405,126817.0,5.0,CLEMENTI,5181
OTHER,F,1237,479256.0,16.0,BEDOK,7103
SERVICE,F,1133,278739.0,10.0,BUKIT TIMAH,6436
PLANT AND MACHINE,F,1099,278439.0,10.0,BUKIT TIMAH,4342
CLERICAL,F,1655,510116.0,18.0,PASIR RIS,5383
PLANT AND MACHINE,M,1716,458705.0,15.0,BEDOK,7531
SERVICE,F,1413,679048.0,23.0,BUKIT PANJANG,7264
SERVICE,F,1287,761315.0,27.0,YISHUN,5117
SERVICE,F,1299,788650.0,26.0,ANG MO KIO,4962
OTHER,F,1280,228238.0,9.0,ORCHARD,7012
SECURITY,F,1991,419312.0,14.0,BEDOK,5764
CLERICAL,F,1655,402003.0,14.0,GEYLANG,4479
CLEANER,F,1074,126835.0,5.0,CLEMENTI,6540
SECURITY,F,1836,275018.0,10.0,QUEENSTOWN,5755
SERVICE,F,1352,597630.0,21.0,BUKIT TIMAH,6033
PLANT AND MACHINE,F,1801,596710.0,21.0,BUKIT TIMAH,948
PLANT AND MACHINE,F,1442,424163.0,15.0,BEDOK,6471
CLEANER,M,1025,440001.0,15.0,MARINE PARADE,5646
OTHER,M,1132,298090.0,11.0,NOVENA,5811
CLEANER,M,1201,298801.0,11.0,NOVENA,6360
SERVICE,M,1123,307943.0,11.0,NOVENA,5271
CLERICAL,F,1982,98450.0,4.0,SOUTHERN ISLANDS,4538
SECURITY,M,1898,523856.0,18.0,TAMPINES,2844
CLEANER,F,1075,160020.0,3.0,BUKIT MERAH,4774
SERVICE,M,1299,163119.0,3.0,BUKIT MERAH,2935
CLEANER,M,1174,465602.0,16.0,BEDOK,1121
CLEANER,M,1089,307746.0,11.0,NOVENA,5046
OTHER,M,1456,248364.0,10.0,TANGLIN,5894
SERVICE,F,1416,267532.0,10.0,BUKIT TIMAH,7454
CLERICAL,M,1433,439943.0,15.0,MARINE PARADE,4698
SERVICE,F,959,470725.0,16.0,BEDOK,4517
OTHER,M,1469,642666.0,22.0,JURONG WEST,6749
CLEANER,F,1393,309978.0,11.0,NOVENA,88
TECHNICIAN,M,1303,100085.0,4.0,BUKIT MERAH,4725
TECHNICIAN,M,1255,100088.0,4.0,BUKIT MERAH,6339
PLANT AND MACHINE,F,1358,436882.0,15.0,KALLANG,5300
SERVICE,M,1318,436918.0,15.0,KALLANG,5739
PLANT AND MACHINE,M,1661,118696.0,5.0,QUEENSTOWN,6917
SERVICE,M,1103,439958.0,15.0,MARINE PARADE,3414
PLANT AND MACHINE,F,2029,640696.0,22.0,JURONG WEST,6882
SERVICE,F,1342,538636.0,19.0,SERANGOON,5521
SECURITY,M,1787,528594.0,18.0,TAMPINES,6499
CLEANER,F,1192,824128.0,19.0,PUNGGOL,4469
SERVICE,M,1447,530522.0,19.0,HOUGANG,7846
SERVICE,M,941,423728.0,15.0,MARINE PARADE,3394
SERVICE,F,1094,587972.0,21.0,BUKIT PANJANG,4197
SERVICE,F,1502,689860.0,23.0,CHOA CHU KANG,4860
SECURITY,M,1801,689863.0,23.0,CHOA CHU KANG,6867
SERVICE,F,1278,425781.0,15.0,BEDOK,4049
CLERICAL,M,1339,436929.0,15.0,KALLANG,5034
TECHNICIAN,M,1073,239228.0,9.0,RIVER VALLEY,5822
SECURITY,F,1642,510417.0,18.0,PASIR RIS,6049
SERVICE,M,1349,828830.0,19.0,PUNGGOL,6133
SERVICE,F,1330,138686.0,5.0,QUEENSTOWN,7472
SERVICE,F,1327,518729.0,18.0,PASIR RIS,4613
SECURITY,M,1848,297726.0,11.0,TOA PAYOH,442
CLEANER,M,1138,640604.0,22.0,JURONG WEST,7391
SERVICE,M,1242,310005.0,12.0,TOA PAYOH,7751
SERVICE,M,1019,258200.0,10.0,TANGLIN,6913
SERVICE,F,1187,530303.0,19.0,HOUGANG,4322
CRAFTS,F,1298,400411.0,14.0,GEYLANG,6001
PLANT AND MACHINE,M,1226,307462.0,11.0,NOVENA,4596
SERVICE,M,1382,391030.0,14.0,GEYLANG,8074
CLERICAL,F,1863,158746.0,3.0,BUKIT MERAH,5169
PLANT AND MACHINE,F,1527,642272.0,22.0,JURONG WEST,785
OTHER,F,1293,643271.0,22.0,JURONG WEST,6238
PLANT AND MACHINE,M,1478,109691.0,4.0,BUKIT MERAH,459
CLEANER,F,1466,307991.0,11.0,NOVENA,6073
SERVICE,M,1261,338517.0,12.0,KALLANG,968
SERVICE,F,1147,398074.0,14.0,GEYLANG,6520
PLANT AND MACHINE,M,1383,587976.0,21.0,BUKIT PANJANG,5475
SERVICE,M,1399,587978.0,21.0,BUKIT PANJANG,5228
SERVICE,M,1125,520351.0,18.0,TAMPINES,6182
CLEANER,M,1311,258797.0,10.0,TANGLIN,6042
SECURITY,M,1908,297727.0,11.0,TOA PAYOH,7373
SECURITY,F,1552,297727.0,11.0,TOA PAYOH,4907
TECHNICIAN,F,1400,520430.0,18.0,TAMPINES,4775
CLERICAL,M,2182,559357.0,19.0,SERANGOON,4309
CLEANER,M,1619,520861.0,18.0,TAMPINES,1454
PLANT AND MACHINE,F,1595,521861.0,18.0,TAMPINES,7022
OTHER,M,1375,543279.0,19.0,SENGKANG,5356
PLANT AND MACHINE,M,1564,806064.0,28.0,SERANGOON,4574
TECHNICIAN,F,1501,806087.0,28.0,SERANGOON,5830
OTHER,M,1264,534209.0,19.0,HOUGANG,4984
PLANT AND MACHINE,M,1372,820183.0,19.0,PUNGGOL,4661
SERVICE,F,1076,648322.0,22.0,JURONG WEST,6385
PLANT AND MACHINE,F,1777,269201.0,10.0,BUKIT TIMAH,7558
PLANT AND MACHINE,F,1634,239194.0,9.0,RIVER VALLEY,6278
CLERICAL,F,1580,266495.0,10.0,BUKIT TIMAH,6988
CLEANER,F,1204,269201.0,10.0,BUKIT TIMAH,5597
PLANT AND MACHINE,F,1527,528803.0,18.0,TAMPINES,7504
SERVICE,M,1365,238002.0,9.0,RIVER VALLEY,7869
SERVICE,M,1145,90103.0,4.0,BUKIT MERAH,6253
CLERICAL,M,1640,530371.0,19.0,HOUGANG,3508
CLEANER,M,1302,417987.0,14.0,BEDOK,5211
CRAFTS,M,968,98650.0,4.0,BUKIT MERAH,4454
CLEANER,M,1451,129790.0,5.0,CLEMENTI,7721
OTHER,F,1375,238252.0,9.0,SINGAPORE RIVER,5576
CLEANER,M,1430,557444.0,19.0,SERANGOON,7175
OTHER,F,1356,520393.0,18.0,TAMPINES,4653
PLANT AND MACHINE,M,1109,161127.0,3.0,BUKIT MERAH,2945
SERVICE,F,1286,650231.0,23.0,BUKIT BATOK,7755
CLERICAL,M,1190,639755.0,22.0,WESTERN WATER CATCHMENT,5688
CLERICAL,M,1972,557297.0,19.0,SERANGOON,4264
PLANT AND MACHINE,F,1203,259345.0,10.0,TANGLIN,7147
PLANT AND MACHINE,M,1606,258463.0,10.0,TANGLIN,6711
TECHNICIAN,M,1179,534027.0,19.0,HOUGANG,5633
SERVICE,F,1491,469990.0,16.0,BEDOK,4494
PLANT AND MACHINE,F,1049,299454.0,11.0,NOVENA,7422
OTHER,F,1411,437918.0,15.0,MARINE PARADE,7290
CLERICAL,F,1560,589652.0,21.0,BUKIT TIMAH,5134
SERVICE,F,1271,289292.0,11.0,BUKIT TIMAH,4527
PLANT AND MACHINE,F,1572,460088.0,16.0,BEDOK,7501
SERVICE,F,1323,142061.0,3.0,QUEENSTOWN,6217
SERVICE,F,1200,228519.0,9.0,NEWTON,6925
OTHER,F,1287,228519.0,9.0,NEWTON,1148
SECURITY,M,1850,436887.0,15.0,KALLANG,6488
CRAFTS,F,1153,530550.0,19.0,HOUGANG,4947
SERVICE,F,1244,248645.0,10.0,ORCHARD,5085
CLERICAL,F,1355,437434.0,15.0,KALLANG,4228
SERVICE,F,1461,437433.0,15.0,KALLANG,4872
SERVICE,M,1174,543291.0,19.0,SENGKANG,5737
PLANT AND MACHINE,F,1632,575628.0,20.0,BISHAN,4863
SERVICE,F,1291,543116.0,19.0,SENGKANG,6703
SERVICE,F,1245,541117.0,19.0,SENGKANG,5640
CLERICAL,F,1276,98623.0,4.0,SOUTHERN ISLANDS,6631
SERVICE,F,1126,98529.0,4.0,SOUTHERN ISLANDS,7350
TECHNICIAN,M,1978,310259.0,12.0,TOA PAYOH,6555
SERVICE,F,1540,319582.0,12.0,TOA PAYOH,6349
CLERICAL,M,1480,543298.0,19.0,SENGKANG,1063
SERVICE,M,1253,277812.0,10.0,BUKIT TIMAH,4533
CLERICAL,M,1787,267043.0,10.0,BUKIT TIMAH,7204
SECURITY,F,1772,159955.0,3.0,QUEENSTOWN,5089
CRAFTS,M,1196,520283.0,18.0,TAMPINES,7785
SERVICE,F,1310,310049.0,12.0,TOA PAYOH,1455
CLERICAL,F,1656,238361.0,9.0,RIVER VALLEY,3312
SECURITY,F,1639,238274.0,9.0,SINGAPORE RIVER,5836
CLEANER,M,995,85201.0,2.0,OUTRAM,630
SERVICE,F,1267,677788.0,23.0,BUKIT PANJANG,5420
SERVICE,M,1170,269293.0,10.0,BUKIT TIMAH,6863
CLEANER,M,985,239471.0,9.0,SINGAPORE RIVER,6799
SERVICE,M,1344,388224.0,14.0,GEYLANG,3901
SECURITY,M,1739,109687.0,4.0,BUKIT MERAH,4302
SERVICE,F,1050,640449.0,22.0,JURONG WEST,7408
CLERICAL,F,2101,142050.0,3.0,QUEENSTOWN,4308
CLERICAL,F,1785,229717.0,9.0,NEWTON,4985
SERVICE,F,1116,436881.0,15.0,KALLANG,7791
CLERICAL,M,2053,436881.0,15.0,KALLANG,6038
OTHER,M,1112,550328.0,19.0,SERANGOON,7192
CRAFTS,M,1218,460160.0,16.0,BEDOK,7137
SERVICE,M,1196,436607.0,15.0,KALLANG,5789
PLANT AND MACHINE,F,1045,129791.0,5.0,CLEMENTI,7827
CLEANER,M,1646,117491.0,5.0,QUEENSTOWN,6301
SERVICE,F,1213,229221.0,9.0,NOVENA,6927
CLEANER,F,907,436882.0,15.0,KALLANG,5163
CRAFTS,F,1257,436882.0,15.0,KALLANG,6815
PLANT AND MACHINE,M,1729,267952.0,10.0,BUKIT TIMAH,4008
CLERICAL,M,1643,793406.0,28.0,SENGKANG,5695
PLANT AND MACHINE,F,1244,530232.0,19.0,HOUGANG,3157
CLEANER,F,924,267955.0,10.0,BUKIT TIMAH,4814
CLEANER,F,1241,160059.0,3.0,BUKIT MERAH,1708
PLANT AND MACHINE,F,1299,249570.0,10.0,TANGLIN,7018
SERVICE,F,1188,249570.0,10.0,TANGLIN,4800
SERVICE,M,1261,672634.0,23.0,BUKIT PANJANG,4435
SERVICE,F,1422,439968.0,15.0,MARINE PARADE,4368
CRAFTS,F,1420,557323.0,19.0,SERANGOON,4601
CLERICAL,F,1740,359416.0,13.0,SERANGOON,4552
PLANT AND MACHINE,F,1587,641659.0,22.0,JURONG WEST,7818
SERVICE,M,1122,641685.0,22.0,JURONG WEST,4310
PLANT AND MACHINE,M,1400,109702.0,4.0,BUKIT MERAH,173
CRAFTS,M,1079,128055.0,5.0,CLEMENTI,6052
CLEANER,M,1059,449300.0,15.0,MARINE PARADE,5266
SERVICE,F,1194,427711.0,15.0,MARINE PARADE,2423
SERVICE,M,1565,600313.0,22.0,JURONG EAST,7136
OTHER,M,1229,640487.0,22.0,JURONG WEST,4556
CLEANER,F,868,510452.0,18.0,PASIR RIS,4299
CLERICAL,M,1549,448908.0,15.0,BEDOK,6866
SECURITY,F,1146,165008.0,3.0,BUKIT MERAH,7844
CLERICAL,M,1872,238307.0,9.0,RIVER VALLEY,4206
SERVICE,M,1031,510116.0,18.0,PASIR RIS,3253
TECHNICIAN,M,1239,249633.0,10.0,RIVER VALLEY,7247
SERVICE,M,1079,238361.0,9.0,RIVER VALLEY,7856
SERVICE,F,1266,120346.0,5.0,CLEMENTI,7970
SERVICE,M,1192,542323.0,19.0,SENGKANG,4372
SERVICE,M,1208,248477.0,10.0,TANGLIN,7401
SERVICE,F,1263,543185.0,19.0,SENGKANG,6318
SERVICE,M,1558,249208.0,10.0,TANGLIN,3795
SERVICE,F,1445,228192.0,9.0,ROCHOR,6370
OTHER,F,1656,454927.0,15.0,BEDOK,7254
CLEANER,F,1350,439488.0,15.0,MARINE PARADE,1632
SERVICE,F,1001,129790.0,5.0,CLEMENTI,4493
CLEANER,M,1137,807983.0,28.0,SERANGOON,5364
SERVICE,M,1278,238590.0,9.0,RIVER VALLEY,2655
CLERICAL,M,2472,809694.0,28.0,ANG MO KIO,6270
TECHNICIAN,M,664,809694.0,28.0,ANG MO KIO,5587
SECURITY,M,1482,238520.0,9.0,RIVER VALLEY,6359
SERVICE,M,1252,249320.0,10.0,RIVER VALLEY,5310
CLEANER,M,1017,465558.0,16.0,BEDOK,6990
TECHNICIAN,F,1279,349950.0,13.0,TOA PAYOH,5370
SECURITY,F,1931,100085.0,4.0,BUKIT MERAH,5094
SERVICE,F,1180,100088.0,4.0,BUKIT MERAH,6997
TECHNICIAN,F,1468,544268.0,19.0,SENGKANG,5339
SERVICE,M,1265,596743.0,21.0,BUKIT TIMAH,7980
CLERICAL,F,1876,549080.0,19.0,HOUGANG,5743
SERVICE,M,1134,587946.0,21.0,BUKIT TIMAH,7652
OTHER,M,1179,509230.0,17.0,PASIR RIS,1656
TECHNICIAN,M,1394,100048.0,4.0,BUKIT MERAH,6147
SERVICE,M,1346,238361.0,9.0,RIVER VALLEY,5441
SECURITY,M,1674,307746.0,11.0,NOVENA,3213
SECURITY,F,1838,307462.0,11.0,NOVENA,7822
CRAFTS,F,1262,400033.0,14.0,GEYLANG,5400
CRAFTS,M,1183,437434.0,15.0,KALLANG,8046
PLANT AND MACHINE,F,1293,550142.0,19.0,SERANGOON,5167
PLANT AND MACHINE,F,1332,558709.0,19.0,SERANGOON,401
SECURITY,F,1623,558815.0,19.0,SERANGOON,7246
SERVICE,F,1272,460091.0,16.0,BEDOK,5916
CRAFTS,F,1089,579731.0,20.0,TOA PAYOH,6400
CRAFTS,M,1226,258343.0,10.0,NEWTON,4485
PLANT AND MACHINE,M,1363,269198.0,10.0,BUKIT TIMAH,5509
SERVICE,M,1363,436918.0,15.0,KALLANG,4167
SERVICE,M,1370,640750.0,22.0,JURONG WEST,4523
CLERICAL,F,1695,821310.0,19.0,PUNGGOL,297
SERVICE,F,1198,529891.0,18.0,TAMPINES,4115
TECHNICIAN,F,2124,529890.0,18.0,TAMPINES,7221
PLANT AND MACHINE,F,1272,479259.0,16.0,BEDOK,7670
PLANT AND MACHINE,M,1665,520408.0,18.0,TAMPINES,7358
SERVICE,F,1139,259704.0,10.0,NEWTON,3148
OTHER,M,1425,534073.0,19.0,HOUGANG,5419
CLEANER,F,1291,448909.0,15.0,BEDOK,4956
CLERICAL,F,1664,289713.0,11.0,BUKIT TIMAH,6528
PLANT AND MACHINE,F,1448,589737.0,21.0,BUKIT TIMAH,2394
SERVICE,M,1215,238361.0,9.0,RIVER VALLEY,7330
CRAFTS,F,1221,238363.0,9.0,RIVER VALLEY,5908
SERVICE,F,1363,229811.0,9.0,NEWTON,4451
SECURITY,M,1550,431009.0,15.0,KALLANG,6328
PLANT AND MACHINE,M,1629,266990.0,10.0,BUKIT TIMAH,5189
OTHER,F,1289,538384.0,19.0,SERANGOON,7830
PLANT AND MACHINE,M,1497,530005.0,19.0,SERANGOON,4185
SERVICE,F,1081,239220.0,9.0,RIVER VALLEY,8034
OTHER,F,1403,239192.0,9.0,RIVER VALLEY,4757
OTHER,M,1287,544810.0,19.0,SENGKANG,2891
SECURITY,F,1963,297724.0,11.0,TOA PAYOH,4223
SERVICE,M,1305,545045.0,19.0,SENGKANG,5706
CRAFTS,M,969,269201.0,10.0,BUKIT TIMAH,4873
CLERICAL,F,1791,528790.0,18.0,TAMPINES,5585
CLERICAL,M,1813,509731.0,17.0,PASIR RIS,5730
PLANT AND MACHINE,M,1709,410641.0,14.0,BEDOK,6836
CLERICAL,F,1953,109685.0,4.0,BUKIT MERAH,5772
CLEANER,F,1254,460072.0,16.0,BEDOK,6666
TECHNICIAN,M,1232,460068.0,16.0,BEDOK,7239
CRAFTS,M,1443,529597.0,18.0,TAMPINES,4122
SERVICE,F,1215,468445.0,16.0,BEDOK,4889
CLEANER,F,1075,237995.0,9.0,SINGAPORE RIVER,3342
SERVICE,F,1311,769317.0,27.0,SEMBAWANG,7043
PLANT AND MACHINE,F,1153,821289.0,19.0,PUNGGOL,7326
SERVICE,M,1293,307743.0,11.0,NOVENA,5967
CLEANER,F,1504,249696.0,10.0,RIVER VALLEY,6093
TECHNICIAN,F,1155,545203.0,19.0,SENGKANG,2251
CLERICAL,F,2320,659920.0,23.0,BUKIT BATOK,5185
CLEANER,F,872,570252.0,20.0,BISHAN,4870
CLEANER,F,1284,458103.0,15.0,BEDOK,5250
SERVICE,M,1089,456694.0,15.0,BEDOK,5544
CLEANER,M,1375,269573.0,10.0,BUKIT TIMAH,7161
PLANT AND MACHINE,F,1653,308345.0,11.0,NOVENA,5846
SERVICE,F,1202,570293.0,20.0,BISHAN,7944
SECURITY,F,1598,424247.0,15.0,MARINE PARADE,5405
PLANT AND MACHINE,F,1161,298336.0,11.0,NOVENA,5091
PLANT AND MACHINE,M,994,258374.0,10.0,TANGLIN,7325
TECHNICIAN,F,1198,228196.0,9.0,ROCHOR,7045
PLANT AND MACHINE,M,1838,604285.0,22.0,JURONG EAST,4591
CLERICAL,M,1955,465559.0,16.0,BEDOK,6476
CLEANER,M,1323,347587.0,13.0,TOA PAYOH,7989
PLANT AND MACHINE,M,1415,560538.0,20.0,ANG MO KIO,6173
SERVICE,M,1441,200813.0,8.0,KALLANG,6383
CLEANER,M,1297,448909.0,15.0,BEDOK,5319
SECURITY,F,1766,277052.0,10.0,BUKIT TIMAH,7883
SECURITY,F,1827,109703.0,4.0,BUKIT MERAH,5970
PLANT AND MACHINE,F,1570,139456.0,5.0,QUEENSTOWN,7251
OTHER,M,1065,298505.0,11.0,NOVENA,4824
PLANT AND MACHINE,M,1104,596290.0,21.0,BUKIT TIMAH,4856
PLANT AND MACHINE,F,1812,669566.0,23.0,BUKIT BATOK,8038
CLERICAL,F,1877,98116.0,4.0,SOUTHERN ISLANDS,4348
SECURITY,F,1425,98209.0,4.0,SOUTHERN ISLANDS,5905
PLANT AND MACHINE,F,1162,458584.0,15.0,BEDOK,5044
SERVICE,F,1222,557532.0,19.0,SERANGOON,6859
CLERICAL,F,1726,218815.0,8.0,KALLANG,7955
SERVICE,M,1165,530405.0,19.0,HOUGANG,7048
SERVICE,M,1095,550540.0,19.0,SERANGOON,7886
SECURITY,M,2103,388134.0,14.0,GEYLANG,4292
SERVICE,F,1119,598319.0,21.0,BUKIT TIMAH,3753
CLERICAL,M,1691,479245.0,16.0,BEDOK,4025
SERVICE,F,1042,400009.0,14.0,GEYLANG,5698
CLEANER,F,1828,319582.0,12.0,TOA PAYOH,4520
CRAFTS,F,1083,670130.0,23.0,BUKIT PANJANG,5128
OTHER,F,1379,159958.0,3.0,QUEENSTOWN,6420
PLANT AND MACHINE,M,1931,270005.0,10.0,QUEENSTOWN,4570
SECURITY,M,1762,257772.0,10.0,TANGLIN,5428
PLANT AND MACHINE,M,1947,670631.0,23.0,BUKIT PANJANG,7411
SERVICE,M,1335,368061.0,13.0,TOA PAYOH,6378
SERVICE,F,1249,457400.0,15.0,BEDOK,1059
CLERICAL,M,1666,542205.0,19.0,SENGKANG,5684
SERVICE,F,1777,239225.0,9.0,RIVER VALLEY,7695
CLEANER,M,1431,160120.0,3.0,BUKIT MERAH,7729
CLEANER,M,1248,430001.0,15.0,GEYLANG,6243
CLEANER,F,1252,751506.0,27.0,SEMBAWANG,4455
CLERICAL,F,1980,757173.0,27.0,SEMBAWANG,6306
CLERICAL,F,1737,311138.0,12.0,TOA PAYOH,7770
CLERICAL,F,2126,738180.0,25.0,WOODLANDS,4267
CLEANER,M,1183,738154.0,25.0,WOODLANDS,6754
SERVICE,F,1241,140092.0,3.0,QUEENSTOWN,4238
CLERICAL,M,2091,200027.0,8.0,ROCHOR,2984
TECHNICIAN,F,1929,248694.0,10.0,RIVER VALLEY,5041
SECURITY,M,1746,679646.0,23.0,BUKIT PANJANG,7673
OTHER,M,1259,520501.0,18.0,TAMPINES,4184
SERVICE,M,1304,320113.0,12.0,NOVENA,3118
SECURITY,F,2036,543320.0,19.0,SENGKANG,5157
CLERICAL,F,1674,238309.0,9.0,RIVER VALLEY,5748
SERVICE,M,1433,543268.0,19.0,SENGKANG,6390
CLERICAL,F,2223,266216.0,10.0,BUKIT TIMAH,7244
CLEANER,M,918,788201.0,26.0,YISHUN,7084
OTHER,F,1331,127363.0,5.0,CLEMENTI,3709
CRAFTS,F,1139,267954.0,10.0,BUKIT TIMAH,6869
CLEANER,F,1307,428624.0,15.0,GEYLANG,2282
CLERICAL,M,2139,439894.0,15.0,MARINE PARADE,6084
SERVICE,M,1185,258159.0,10.0,TANGLIN,5173
CRAFTS,F,1198,207223.0,8.0,KALLANG,6657
SERVICE,M,1225,329216.0,12.0,NOVENA,4019
PLANT AND MACHINE,F,1843,399944.0,14.0,GEYLANG,4519
SERVICE,M,1433,398412.0,14.0,GEYLANG,4919
SERVICE,M,1205,438686.0,15.0,GEYLANG,4652
PLANT AND MACHINE,M,1026,249617.0,10.0,RIVER VALLEY,7918
SERVICE,F,1592,540264.0,19.0,SENGKANG,7868
CLERICAL,M,1585,427975.0,15.0,BEDOK,4961
SERVICE,F,1239,268479.0,10.0,BUKIT TIMAH,7420
CLEANER,M,1018,149310.0,3.0,QUEENSTOWN,6415
SERVICE,M,1408,149310.0,3.0,QUEENSTOWN,3954
SECURITY,F,1991,555372.0,19.0,SERANGOON,5648
SERVICE,F,858,587846.0,21.0,BUKIT PANJANG,7897
OTHER,F,1221,579354.0,20.0,BISHAN,5220
CLEANER,F,1220,329141.0,12.0,NOVENA,5965
PLANT AND MACHINE,F,1993,786784.0,26.0,ANG MO KIO,5205
PLANT AND MACHINE,F,1390,545471.0,19.0,HOUGANG,5708
SERVICE,F,1100,400830.0,14.0,GEYLANG,5109
PLANT AND MACHINE,M,998,,,,6327
CRAFTS,M,1154,520119.0,18.0,TAMPINES,4649
SERVICE,F,1146,138615.0,5.0,QUEENSTOWN,4155
PLANT AND MACHINE,M,1270,425277.0,15.0,BEDOK,5381
TECHNICIAN,F,1188,599550.0,21.0,BUKIT TIMAH,4358
CLEANER,F,1356,555615.0,19.0,SERANGOON,7728
SERVICE,F,1204,543265.0,19.0,SENGKANG,7740
PLANT AND MACHINE,M,1697,600101.0,22.0,JURONG EAST,4424
OTHER,M,1283,670654.0,23.0,BUKIT PANJANG,4831
SECURITY,F,1640,459474.0,15.0,BEDOK,6572
SERVICE,F,1138,399939.0,14.0,GEYLANG,6911
CLEANER,F,1133,288294.0,11.0,NOVENA,2339
SERVICE,M,1124,100084.0,4.0,BUKIT MERAH,5740
SERVICE,M,1162,100085.0,4.0,BUKIT MERAH,8061
CLERICAL,M,2126,546311.0,19.0,HOUGANG,7996
SERVICE,M,1303,129196.0,5.0,CLEMENTI,5048
CLEANER,M,1095,597205.0,21.0,CLEMENTI,6750
CLEANER,M,1700,200813.0,8.0,KALLANG,4603
CLEANER,F,1118,596230.0,21.0,BUKIT BATOK,1952
CLEANER,M,972,299797.0,11.0,NOVENA,8024
SERVICE,F,1143,544703.0,19.0,SENGKANG,4093
CRAFTS,F,1148,498844.0,17.0,CHANGI,6965
CLEANER,F,1385,266313.0,10.0,BUKIT TIMAH,5321
CLEANER,M,1474,460120.0,16.0,BEDOK,7269
SERVICE,F,1043,370069.0,13.0,GEYLANG,1484
CLERICAL,M,1821,398081.0,14.0,GEYLANG,3278
CLEANER,F,1063,410670.0,14.0,BEDOK,7772
SERVICE,M,1325,360015.0,13.0,TOA PAYOH,1036
CLERICAL,M,2096,643268.0,22.0,JURONG WEST,4710
SERVICE,M,1385,398086.0,14.0,GEYLANG,5013
SECURITY,M,2134,398074.0,14.0,GEYLANG,4983
CLERICAL,M,1787,680207.0,23.0,CHOA CHU KANG,6332
SERVICE,F,1374,249591.0,10.0,RIVER VALLEY,4685
PLANT AND MACHINE,M,1156,520267.0,18.0,TAMPINES,4219
CLEANER,F,1350,98414.0,4.0,BUKIT MERAH,2975
CLEANER,M,1097,100067.0,4.0,BUKIT MERAH,3276
SERVICE,M,1248,468902.0,16.0,BEDOK,4917
SERVICE,F,1346,210044.0,8.0,KALLANG,5239
TECHNICIAN,F,1631,229813.0,9.0,NEWTON,4266
PLANT AND MACHINE,M,993,579720.0,20.0,TOA PAYOH,1168
PLANT AND MACHINE,M,968,570025.0,20.0,BISHAN,7279
SERVICE,F,1315,297725.0,11.0,TOA PAYOH,5345
TECHNICIAN,M,2132,579820.0,20.0,BISHAN,4378
OTHER,M,1122,239225.0,9.0,RIVER VALLEY,6585
SERVICE,F,1143,239099.0,9.0,RIVER VALLEY,6441
TECHNICIAN,M,1453,18987.0,1.0,DOWNTOWN CORE,3382
SERVICE,F,1348,238257.0,9.0,SINGAPORE RIVER,5677
PLANT AND MACHINE,M,1592,786830.0,26.0,ANG MO KIO,5991
CLERICAL,M,1386,509230.0,17.0,PASIR RIS,5258
CRAFTS,F,1250,249058.0,10.0,TANGLIN,6961
CLERICAL,M,2171,544989.0,19.0,SENGKANG,5463
CRAFTS,F,1519,680212.0,23.0,CHOA CHU KANG,2185
SERVICE,M,1489,543257.0,19.0,SENGKANG,6668
SERVICE,F,1071,297781.0,11.0,NOVENA,2047
CLEANER,F,1299,596231.0,21.0,BUKIT BATOK,4341
TECHNICIAN,M,1424,98584.0,4.0,SOUTHERN ISLANDS,6648
SECURITY,M,1629,229740.0,9.0,NEWTON,5985
CLEANER,F,942,229740.0,9.0,NEWTON,4439
SERVICE,M,1154,488330.0,16.0,TAMPINES,5179
CLERICAL,F,2200,488335.0,16.0,TAMPINES,7496
SERVICE,F,1312,465558.0,16.0,BEDOK,5788
SERVICE,F,1250,530304.0,19.0,HOUGANG,7712
CLERICAL,M,1782,529892.0,18.0,TAMPINES,4739
CLEANER,M,1342,529890.0,18.0,TAMPINES,6005
CLERICAL,F,2157,798593.0,28.0,HOUGANG,7441
